evidence_id	cell_type	marker_gene	direction	confidence	reference_source	reference_type	pmid_or_doi	source_url	query_date	tissue_context	disease_context	evidence_note
CMR_068	Smooth_muscle_cell	TAGLN	positive	medium	Multi-omics stromal and tumor-cell heterogeneity in gastric cancer, Translational Oncology 2025	gastric_cancer_stromal_primary_multiomics_paper	10.1016/j.tranon.2025.102614	https://pmc.ncbi.nlm.nih.gov/articles/PMC12681864/	2026-05-30	gastric cancer tissue	gastric cancer	Translational Oncology gastric cancer stromal multi-omics study reports MYH11-positive SMCs with high MYH11 and TAGLN contractile signature.
CMR_069	Cycling	MKI67	positive	medium	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA data contain cycling/proliferation markers; use only as cell-cycle state evidence.
CMR_070	Cycling	TOP2A	positive	medium	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA data contain cycling/proliferation markers; use only as cell-cycle state evidence.
CMR_071	Monocyte	VCAN	positive	high	Single-cell transcriptomic profiling of gastric tumorigenesis associated with H. pylori, Journal of Advanced Research 2025	gastric_tumorigenesis_primary_scRNA_paper	10.1016/j.jare.2024.10.012	https://pmc.ncbi.nlm.nih.gov/articles/PMC12302424/	2026-05-30	gastric cancer tissue	gastric cancer	Journal of Advanced Research gastric tumorigenesis scRNA identifies monocytes using VCAN and LYZ.
CMR_072	Pit_mucous_epithelial	GKN1	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-07-23	gastric cancer and adjacent gastric tissue	gastric cancer	Nature Communications gastric cancer scRNA characterizes non-malignant surface mucous cells with a GKN1/GKN2/MUC5AC-associated program.
CMR_073	Pit_mucous_epithelial	GKN2	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-07-23	gastric cancer and adjacent gastric tissue	gastric cancer	Nature Communications gastric cancer scRNA characterizes non-malignant surface mucous cells with a GKN1/GKN2/MUC5AC-associated program.
CMR_074	Chief_epithelial	PGA4	positive	high	RAB25 modulates pit cell commitment by coordinating transforming growth factor-alpha secretion from gastric epithelial cells, Cell Death & Disease 2025	human_gastric_mucosa_primary_scRNA_paper	10.1038/s41419-025-08316-2	https://www.nature.com/articles/s41419-025-08316-2	2026-07-23	human adjacent non-cancerous gastric mucosa	gastric inflammation	Primary human gastric-mucosa scRNA annotates chief cells using PGA4 and PGA5.
CMR_075	Chief_epithelial	PGA5	positive	high	RAB25 modulates pit cell commitment by coordinating transforming growth factor-alpha secretion from gastric epithelial cells, Cell Death & Disease 2025	human_gastric_mucosa_primary_scRNA_paper	10.1038/s41419-025-08316-2	https://www.nature.com/articles/s41419-025-08316-2	2026-07-23	human adjacent non-cancerous gastric mucosa	gastric inflammation	Primary human gastric-mucosa scRNA annotates chief cells using PGA4 and PGA5.
CMR_076	Parietal_epithelial	ATP4A	positive	high	RAB25 modulates pit cell commitment by coordinating transforming growth factor-alpha secretion from gastric epithelial cells, Cell Death & Disease 2025	human_gastric_mucosa_primary_scRNA_paper	10.1038/s41419-025-08316-2	https://www.nature.com/articles/s41419-025-08316-2	2026-07-23	human adjacent non-cancerous gastric mucosa	gastric inflammation	Primary human gastric-mucosa scRNA annotates parietal cells using ATP4A, ATP4B and CBLIF.
CMR_077	Parietal_epithelial	ATP4B	positive	high	RAB25 modulates pit cell commitment by coordinating transforming growth factor-alpha secretion from gastric epithelial cells, Cell Death & Disease 2025	human_gastric_mucosa_primary_scRNA_paper	10.1038/s41419-025-08316-2	https://www.nature.com/articles/s41419-025-08316-2	2026-07-23	human adjacent non-cancerous gastric mucosa	gastric inflammation	Primary human gastric-mucosa scRNA annotates parietal cells using ATP4A, ATP4B and CBLIF.
CMR_078	Parietal_epithelial	CBLIF	positive	high	RAB25 modulates pit cell commitment by coordinating transforming growth factor-alpha secretion from gastric epithelial cells, Cell Death & Disease 2025	human_gastric_mucosa_primary_scRNA_paper	10.1038/s41419-025-08316-2	https://www.nature.com/articles/s41419-025-08316-2	2026-07-23	human adjacent non-cancerous gastric mucosa	gastric inflammation	Primary human gastric-mucosa scRNA uses CBLIF with ATP4A and ATP4B to characterize parietal cells.
CMR_079	Enteroendocrine_epithelial	CHGB	positive	high	RAB25 modulates pit cell commitment by coordinating transforming growth factor-alpha secretion from gastric epithelial cells, Cell Death & Disease 2025	human_gastric_mucosa_primary_scRNA_paper	10.1038/s41419-025-08316-2	https://www.nature.com/articles/s41419-025-08316-2	2026-07-23	human adjacent non-cancerous gastric mucosa	gastric inflammation	Primary human gastric-mucosa scRNA annotates gastric endocrine cells using CHGA and CHGB.
